qid1,qid2,pred1,pred2,gt1,gt2,q1score,q2score
1,2,img2,img2,img1,img2,0.5,0.5
3,4,img2,img2,img1,img2,0.5,0.5
5,6,img2,img2,img1,img2,0.5,0.5
7,8,img2,img2,img1,img2,0.5,0.5
9,10,img2,img2,img1,img2,0.5,0.5
11,12,img2,img2,img1,img2,0.5,0.5
13,14,img2,img2,img1,img2,0.5,0.5
15,16,img2,img2,img1,img2,0.5,0.5
17,18,img2,img2,img1,img2,0.5,0.5
19,20,img2,img2,img1,img2,0.5,0.5
21,22,img2,img2,img1,img2,0.5,0.5
23,24,img2,img2,img1,img2,0.5,0.5
25,26,img2,img2,img1,img2,0.5,0.5
27,28,img2,img2,img1,img2,0.5,0.5
29,30,img2,img2,img1,img2,0.5,0.5
31,32,img2,img2,img1,img2,0.5,0.5
33,34,img2,img2,img1,img2,0.5,0.5
35,36,img2,img2,img1,img2,0.5,0.5
37,38,img2,img2,img1,img2,0.5,0.5
39,40,img2,img2,img1,img2,0.5,0.5
41,42,img2,img2,img1,img2,0.5,0.5
43,44,img2,img2,img1,img2,0.5,0.5
45,46,img2,img2,img1,img2,0.5,0.5
47,48,img2,img2,img1,img2,0.5,0.5
49,50,img2,img2,img1,img2,0.5,0.5
51,52,img2,img2,img1,img2,0.5,0.5
53,54,img2,img2,img1,img2,0.5,0.5
55,56,img2,img2,img1,img2,0.5,0.5
57,58,img2,img2,img1,img2,0.5,0.5
59,60,img2,img2,img1,img2,0.5,0.5
61,62,img2,img2,img1,img2,0.5,0.5
63,64,img2,img2,img1,img2,0.5,0.5
65,66,img2,img2,img1,img2,0.5,0.5
67,68,img2,img2,img1,img2,0.5,0.5
69,70,img2,img2,img1,img2,0.5,0.5
71,72,img2,img2,img1,img2,0.5,0.5
73,74,img2,img2,img1,img2,0.5,0.5
75,76,img2,img2,img1,img2,0.5,0.5
77,78,img2,img2,img1,img2,0.5,0.5
79,80,img2,img2,img1,img2,0.5,0.5
81,82,img2,img2,img1,img2,0.5,0.5
83,84,img2,img2,img1,img2,0.5,0.5
85,86,img2,img2,img1,img2,0.5,0.5
87,88,img2,img2,img1,img2,0.5,0.5
89,90,img2,img2,img1,img2,0.5,0.5
91,92,img2,img2,img1,img2,0.5,0.5
93,94,img2,img2,img1,img2,0.5,0.5
95,96,img2,img2,img1,img2,0.5,0.5
97,98,img2,img2,img1,img2,0.5,0.5
99,100,img2,img2,img1,img2,0.5,0.5
101,102,img2,img2,img1,img2,0.5,0.5
103,104,img2,img2,img1,img2,0.5,0.5
105,106,img2,img2,img1,img2,0.5,0.5
107,108,img2,img2,img1,img2,0.5,0.5
109,110,img2,img2,img1,img2,0.5,0.5
111,112,img2,img2,img1,img2,0.5,0.5
113,114,img2,img2,img1,img2,0.5,0.5
115,116,img2,img2,img1,img2,0.5,0.5
117,118,img2,img2,img1,img2,0.5,0.5
119,120,img2,img2,img1,img2,0.5,0.5
121,122,img2,img2,img1,img2,0.5,0.5
123,124,img2,img2,img1,img2,0.5,0.5
125,126,img2,img2,img1,img2,0.5,0.5
127,128,img2,img2,img1,img2,0.5,0.5
129,130,img2,img2,img1,img2,0.5,0.5
131,132,img2,img2,img1,img2,0.5,0.5
133,134,img2,img2,img1,img2,0.5,0.5
135,136,img2,img2,img1,img2,0.5,0.5
137,138,img2,img2,img1,img2,0.5,0.5
139,140,img2,img2,img1,img2,0.5,0.5
141,142,img2,img2,img1,img2,0.5,0.5
143,144,img2,img2,img1,img2,0.5,0.5
145,146,img2,img2,img1,img2,0.5,0.5
147,148,img2,img2,img1,img2,0.5,0.5
149,150,img2,img2,img1,img2,0.5,0.5
151,152,img2,img2,img1,img2,0.5,0.5
153,154,img2,img2,img1,img2,0.5,0.5
155,156,img2,img2,img1,img2,0.5,0.5
157,158,img2,img2,img1,img2,0.5,0.5
159,160,img2,img2,img1,img2,0.5,0.5
161,162,img2,img2,img1,img2,0.5,0.5
163,164,img2,img2,img1,img2,0.5,0.5
165,166,img2,img2,img1,img2,0.5,0.5
167,168,img2,img2,img1,img2,0.5,0.5
169,170,img2,img2,img1,img2,0.5,0.5
171,172,img2,img2,img1,img2,0.5,0.5
173,174,img2,img2,img1,img2,0.5,0.5
175,176,img2,img2,img1,img2,0.5,0.5
177,178,img2,img2,img1,img2,0.5,0.5
179,180,img2,img2,img1,img2,0.5,0.5
181,182,img2,img2,img1,img2,0.5,0.5
183,184,img2,img2,img1,img2,0.5,0.5
185,186,img2,img2,img1,img2,0.5,0.5
187,188,img2,img2,img1,img2,0.5,0.5
189,190,img2,img2,img1,img2,0.5,0.5
191,192,img2,img2,img1,img2,0.5,0.5
193,194,img2,img2,img1,img2,0.5,0.5
195,196,img2,img2,img1,img2,0.5,0.5
197,198,img2,img2,img1,img2,0.5,0.5
199,200,img2,img2,img1,img2,0.5,0.5
201,202,img2,img2,img1,img2,0.5,0.5
203,204,img2,img2,img1,img2,0.5,0.5
205,206,img2,img2,img1,img2,0.5,0.5
207,208,img2,img2,img1,img2,0.5,0.5
209,210,img2,img2,img1,img2,0.5,0.5
211,212,img2,img2,img1,img2,0.5,0.5
213,214,img2,img2,img1,img2,0.5,0.5
215,216,img2,img2,img1,img2,0.5,0.5
217,218,img2,img2,img1,img2,0.5,0.5
219,220,img2,img2,img1,img2,0.5,0.5
221,222,img2,img2,img1,img2,0.5,0.5
223,224,img2,img2,img1,img2,0.5,0.5
225,226,img2,img2,img1,img2,0.5,0.5
227,228,img2,img2,img1,img2,0.5,0.5
229,230,img2,img2,img1,img2,0.5,0.5
231,232,img2,img2,img1,img2,0.5,0.5
233,234,img2,img2,img1,img2,0.5,0.5
235,236,img2,img2,img1,img2,0.5,0.5
237,238,img2,img2,img1,img2,0.5,0.5
239,240,img2,img2,img1,img2,0.5,0.5
241,242,img2,img2,img1,img2,0.5,0.5
243,244,img2,img2,img1,img2,0.5,0.5
245,246,img2,img2,img1,img2,0.5,0.5
247,248,img2,img2,img1,img2,0.5,0.5
249,250,img2,img2,img1,img2,0.5,0.5
251,252,img2,img2,img1,img2,0.5,0.5
253,254,img2,img2,img1,img2,0.5,0.5
255,256,img2,img2,img1,img2,0.5,0.5
257,258,img2,img2,img1,img2,0.5,0.5
259,260,img2,img2,img1,img2,0.5,0.5
261,262,img2,img2,img1,img2,0.5,0.5
263,264,img2,img2,img1,img2,0.5,0.5
265,266,img2,img2,img1,img2,0.5,0.5
267,268,img2,img2,img1,img2,0.5,0.5
269,270,img2,img2,img1,img2,0.5,0.5
