qid1,qid2,pred1,pred2,gt1,gt2,q1score,q2score
1,2,img1,img2,img1,img2,0.06232,0.05664
3,4,img1,img2,img1,img2,0.0001253,2.843e-05
5,6,img1,img2,img1,img2,0.06232,0.00582
7,8,img1,img2,img1,img2,0.1677,0.126
9,10,img1,img2,img1,img2,0.10895,0.05542
11,12,img2,img1,img1,img2,0.03162,0.05542
13,14,img1,img2,img1,img2,0.001536,0.001245
15,16,img1,img2,img1,img2,5.65e-05,2.3e-06
17,18,img2,img1,img1,img2,0.002714,0.005344
19,20,img2,img1,img1,img2,0.0001535,0.00547
21,22,img2,img1,img1,img2,0.4072,0.504
23,24,img1,img2,img1,img2,0.7075,0.1968
25,26,img1,img2,img1,img2,0.849,0.7324
27,28,img2,img1,img1,img2,0.2147,0.3577
29,30,img1,img2,img1,img2,0.9375,0.9277
31,32,img2,img1,img1,img2,0.001294,0.004135
33,34,img1,img2,img1,img2,0.2081,0.007755
35,36,img2,img1,img1,img2,0.0001106,0.0007915
37,38,img2,img1,img1,img2,0.03876,0.05072
39,40,img1,img2,img1,img2,0.9014,0.11676
41,42,img2,img1,img1,img2,0.02333,0.03595
43,44,img2,img1,img1,img2,0.0009623,0.01616
45,46,img1,img2,img1,img2,2.93e-05,4.6e-06
47,48,img1,img2,img1,img2,0.0001253,1.07e-05
49,50,img1,img2,img1,img2,4.13e-05,4.23e-06
51,52,img1,img2,img1,img2,0.0003102,0.0001713
53,54,img2,img1,img1,img2,0.0004547,0.000593
55,56,img2,img1,img1,img2,3.8e-06,0.0001089
57,58,img1,img2,img1,img2,0.3276,0.3157
59,60,img1,img2,img1,img2,0.8926,0.7563
61,62,img1,img2,img1,img2,0.02998,0.004467
63,64,img1,img2,img1,img2,0.007576,0.0004141
65,66,img1,img2,img1,img2,0.319,0.01813
67,68,img1,img2,img1,img2,0.926,0.6807
69,70,img2,img1,img1,img2,2.3e-05,0.0001409
71,72,img1,img2,img1,img2,0.003075,0.001824
73,74,img1,img2,img1,img2,0.6245,0.1268
75,76,img1,img2,img1,img2,0.504,0.03995
77,78,img2,img1,img1,img2,0.2583,0.4377
79,80,img1,img2,img1,img2,0.2147,0.1677
81,82,img1,img2,img1,img2,0.9805,0.8066
83,84,img1,img2,img1,img2,1.407e-05,2e-07
85,86,img1,img2,img1,img2,0.0716,0.04468
87,88,img1,img2,img1,img2,0.4707,0.269
89,90,img1,img2,img1,img2,0.363,0.304
91,92,img1,img2,img1,img2,0.07806,0.00089
93,94,img1,img2,img1,img2,0.025,0.004467
95,96,img1,img2,img1,img2,0.02129,0.0145
97,98,img1,img2,img1,img2,0.0001177,2.25e-05
99,100,img2,img1,img1,img2,0.0001911,0.0002959
101,102,img1,img2,img1,img2,0.1052,0.00838
103,104,img1,img2,img1,img2,0.05664,0.01041
105,106,img2,img1,img1,img2,1.7e-06,4.834e-05
107,108,img1,img2,img1,img2,0.0981,0.02931
109,110,img2,img1,img1,img2,0.001024,0.001378
111,112,img1,img2,img1,img2,0.004166,0.000985
113,114,img1,img2,img1,img2,0.1285,0.01942
115,116,img2,img1,img1,img2,2.98e-05,4.4e-05
117,118,img1,img2,img1,img2,0.00109,0.0005484
119,120,img1,img2,img1,img2,0.3398,0.0792
121,122,img1,img2,img1,img2,0.7812,0.7476
123,124,img1,img2,img1,img2,4.27e-05,3.88e-05
125,126,img1,img2,img1,img2,0.013954,0.002672
127,128,img2,img1,img1,img2,0.000392,0.0007915
129,130,img1,img2,img1,img2,4.27e-05,3.71e-05
131,132,img1,img2,img1,img2,0.0009184,0.0003006
133,134,img2,img1,img1,img2,0.0002654,0.002003
135,136,img2,img1,img1,img2,0.06903,0.1688
137,138,img1,img2,img1,img2,0.001883,0.000721
139,140,img1,img2,img1,img2,0.6245,0.591
141,142,img1,img2,img1,img2,0.0031,6.205e-05
143,144,img1,img2,img1,img2,0.7417,0.646
145,146,img1,img2,img1,img2,0.000985,0.0005527
147,148,img1,img2,img1,img2,0.01224,0.0001559
149,150,img2,img1,img1,img2,0.02844,0.0792
151,152,img1,img2,img1,img2,0.149,0.00181
153,154,img1,img2,img1,img2,0.01462,0.00454
155,156,img1,img2,img1,img2,0.568,0.11127
157,158,img1,img2,img1,img2,0.885,0.08154
159,160,img1,img2,img1,img2,0.248,0.2056
161,162,img1,img2,img1,img2,0.9365,0.291
163,164,img1,img2,img1,img2,0.832,0.155
165,166,img1,img2,img1,img2,0.05072,8.48e-05
167,168,img1,img2,img1,img2,0.3887,0.007065
169,170,img1,img2,img1,img2,0.9697,0.927
171,172,img1,img2,img1,img2,3.27e-05,1.174e-05
173,174,img1,img2,img1,img2,0.12085,0.03333
175,176,img1,img2,img1,img2,0.002453,0.0001547
177,178,img1,img2,img1,img2,0.012825,0.000424
179,180,img1,img2,img1,img2,0.299,0.02461
181,182,img1,img2,img1,img2,0.704,0.05664
183,184,img1,img2,img1,img2,7.6e-06,7.2e-06
185,186,img1,img2,img1,img2,0.667,0.2524
187,188,img1,img2,img1,img2,0.05707,0.003944
189,190,img1,img2,img1,img2,0.10895,0.01578
191,192,img2,img1,img1,img2,0.00472,0.007576
193,194,img1,img2,img1,img2,0.00838,0.002323
195,196,img1,img2,img1,img2,0.07263,0.008514
197,198,img1,img2,img1,img2,0.717,0.1329
199,200,img1,img2,img1,img2,0.2351,0.04886
201,202,img2,img1,img1,img2,0.814,0.873
203,204,img1,img2,img1,img2,0.009636,0.005512
205,206,img2,img1,img1,img2,0.9414,0.974
207,208,img1,img2,img1,img2,0.10016,0.08154
209,210,img1,img2,img1,img2,0.0007615,0.0006824
211,212,img1,img2,img1,img2,2.8e-06,2.2e-06
213,214,img2,img1,img1,img2,0.01041,0.01107
215,216,img2,img1,img1,img2,4.333e-05,0.0001523
217,218,img1,img2,img1,img2,0.03235,0.02263
219,220,img1,img2,img1,img2,3.62e-05,2.265e-05
221,222,img2,img1,img1,img2,1e-07,2.4e-07
223,224,img1,img2,img1,img2,0.001,0.0005035
225,226,img1,img2,img1,img2,0.0001234,8.03e-05
227,228,img1,img2,img1,img2,0.00582,0.001755
229,230,img2,img1,img1,img2,0.00629,0.00746
231,232,img2,img1,img1,img2,0.001151,0.002342
233,234,img1,img2,img1,img2,0.00032,0.0002003
235,236,img2,img1,img1,img2,0.6387,0.6533
237,238,img2,img1,img1,img2,0.07477,0.1023
239,240,img1,img2,img1,img2,0.008,0.003248
241,242,img1,img2,img1,img2,0.762,0.2031
243,244,img1,img2,img1,img2,0.714,0.07263
245,246,img2,img1,img1,img2,0.01017,0.01678
247,248,img2,img1,img1,img2,1.955e-05,2.25e-05
249,250,img1,img2,img1,img2,0.7324,0.5254
251,252,img1,img2,img1,img2,0.691,0.3008
253,254,img1,img2,img1,img2,0.02518,0.0005617
255,256,img1,img2,img1,img2,0.646,0.4883
257,258,img1,img2,img1,img2,0.4648,0.01616
259,260,img1,img2,img1,img2,0.007576,0.000544
261,262,img1,img2,img1,img2,0.0006666,0.000484
263,264,img1,img2,img1,img2,0.02065,0.0056
265,266,img1,img2,img1,img2,0.5796,0.015305
267,268,img1,img2,img1,img2,0.1461,0.004757
269,270,img1,img2,img1,img2,0.0004916,0.0001224
